"year","gear","tot_val"
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",8.283498
2015,"OTB",13.200766
2015,"OTB",11.517652
2015,"OTB",20.056835
2015,"OTB",35.971921
2015,"OTB",45.54231
2015,"OTB",49.172688
2015,"OTB",72.983511
2015,"OTB",72.719362
2015,"OTB",66.770888
2015,"OTB",66.638814
2015,"OTB",63.668808
2015,"OTB",48.009408
2015,"OTB",26.269458
2015,"OTB",13.976286
2015,"OTB",13.456452
2015,"OTB",8.283498
2015,"OTB",3.234154
2015,"OTB",2.458634
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
2015,"OTB",0
