"year","length","tot_val"
2016,14,937.667538
2016,13,967.457504
2016,12,319.345132
2016,11,303.419146
2016,10,220.305133
2016,9,0
2016,8,0
2016,7,0
2016,6,0
2016,5,0
2016,4,0
2016,3,0
2016,2,0
2016,1,0
2016,0,0
2015,100,0
2015,99,0
2015,98,0
2015,97,0
2015,96,0
2015,95,0
2015,94,0
2015,93,0
2015,92,0
2015,91,0
2015,90,0
2015,89,0
2015,88,0
2015,87,0
2015,86,0
2015,85,0
2015,84,0
2015,83,0
2015,82,0
2015,81,0
2015,80,0
2015,79,0
2015,78,0
2015,77,0
2015,76,0
2015,75,0
2015,74,0
2015,73,0
2015,72,0
2015,71,0
2015,70,0
2015,69,0
2015,68,0
2015,67,0
2015,66,0
2015,65,0
2015,64,0
2015,63,0
2015,62,0
2015,61,0
2015,60,0
2015,59,0
2015,58,0
2015,57,0
2015,56,0
2015,55,0
2015,54,0
2015,53,0
2015,52,0
2015,51,0
2015,50,0
2015,49,0
2015,48,0
2015,47,0
2015,46,0
2015,45,0
2015,44,0
2015,43,0
2015,42,9.723535
2015,41,45.209033
2015,40,71.446463
2015,39,52.498505
2015,38,124.701031
2015,37,440.796062
2015,36,469.607989
2015,35,331.110845
2015,34,632.794117
2015,33,1248.732452
2015,32,1588.331893
2015,31,2437.56045
2015,30,3674.248821
2015,29,3937.023952
2015,28,3728.341598
2015,27,6049.439366
2015,26,6008.917288
2015,25,6268.092711
2015,24,5724.506907
2015,23,7008.017644
2015,22,8150.070551
2015,21,10452.757923
2015,20,7933.122951
2015,19,6425.643268
2015,18,6412.491835
2015,17,6968.239065
2015,16,5586.890763
2015,15,4618.405536
2015,14,3160.141931
2015,13,2646.284707
2015,12,1619.525242
2015,11,1616.282927
2015,10,1653.806396
2015,9,210.216134
2015,8,372.056332
2015,7,0
2015,6,0
2015,5,0
2015,4,0
2015,3,0
2015,2,0
2015,1,0
2015,0,0
2014,100,0
2014,99,0
2014,98,0
2014,97,0
2014,96,0
2014,95,0
2014,94,0
2014,93,0
2014,92,0
2014,91,0
2014,90,0
2014,89,0
2014,88,0
2014,87,0
2014,86,0
2014,85,0
2014,84,0
2014,83,0
2014,82,0
2014,81,0
2014,80,0
2014,79,0
2014,78,0
2014,77,0
2014,76,0
2014,75,0
2014,74,0
2014,73,0
2014,72,0
2014,71,0
2014,70,0
2014,69,0
2014,68,0
2014,67,0
2014,66,0
2014,65,0
2014,64,0
2014,63,0
2014,62,0
2014,61,0
2014,60,0
2014,59,0
2014,58,0
2014,57,0
2014,56,0
2014,55,0
2014,54,0
2014,53,0
2014,52,0
2014,51,0
2014,50,0
2014,49,0
2014,48,0
2014,47,0
2014,46,2.660337
2014,45,5.320674
2014,44,7.981011
2014,43,31.924045
2014,42,45.22573
2014,41,78.42123
2014,40,67.040494
2014,39,161.155629
2014,38,250.767036
2014,37,994.141025
2014,36,1418.500649
2014,35,1077.766721
2014,34,978.118716
2014,33,1510.698587
2014,32,1682.636216
2014,31,1639.208142
2014,30,2423.727421
2014,29,2897.191196
2014,28,3529.379889
2014,27,3432.195588
2014,26,3247.925
2014,25,2471.35123
2014,24,2462.883833
2014,23,3097.707091
2014,22,3356.443762
2014,21,3330.846392
2014,20,3732.064105
2014,19,3500.195628
2014,18,3112.147183
2014,17,3433.63627
2014,16,4330.243732
2014,15,2579.002721
2014,14,1635.300792
2014,13,980.003505
2014,12,288.498205
2014,11,315.929474
2014,10,86.372728
2014,9,57.581818
2014,8,17.244707
2014,7,0
2014,6,0
2014,5,0
2014,4,0
2014,3,0
2014,2,0
2014,1,0
2014,0,0
2013,100,0
2013,99,0
2013,98,0
2013,97,0
2013,96,0
2013,95,0
2013,94,0
2013,93,0
2013,92,0
2013,91,0
2013,90,0
2013,89,0
2013,88,0
2013,87,0
2013,86,0
2013,85,0
2013,84,0
2013,83,0
2013,82,0
2013,81,0
2013,80,0
2013,79,0
2013,78,0
2013,77,0
2013,76,0
2013,75,0
2013,74,0
2013,73,0
2013,72,0
2013,71,0
2013,70,0
2013,69,0
2013,68,0
2013,67,0
2013,66,0
2013,65,0
2013,64,0
2013,63,0
2013,62,0
2013,61,0
2013,60,0
2013,59,0
2013,58,0
2013,57,0
2013,56,0
2013,55,0
2013,54,0
2013,53,0
2013,52,0
2013,51,0
2013,50,0
2013,49,0
2013,48,0
2013,47,0
2013,46,10.619381
2013,45,8.010958
2013,44,19.072468
2013,43,24.368957
2013,42,37.524878
2013,41,77.976449
2013,40,128.004358
2013,39,210.604537
2013,38,546.575435
2013,37,592.623475
2013,36,895.448839
2013,35,960.790328
2013,34,1342.302017
2013,33,1982.972633
2013,32,2137.793259
2013,31,2610.511289
2013,30,2754.175965
2013,29,2997.842601
2013,28,3235.026894
2013,27,3311.175796
2013,26,3779.565387
2013,25,3580.052402
2013,24,3325.434814
2013,23,3242.909858
2013,22,2477.50481
2013,21,2060.369625
2013,20,2332.747492
2013,19,2576.440602
2013,18,2214.794609
2013,17,1697.54183
2013,16,957.092349
2013,15,340.438217
2013,14,230.0941
2013,13,134.323016
2013,12,87.358779
2013,11,73.559918
2013,10,65.564044
2013,9,27.417092
2013,8,0
2013,7,0
2013,6,0
2013,5,5.975604
2013,4,0
2013,3,0
2013,2,0
2013,1,0
2013,0,0
2012,100,0
2012,99,0
2012,98,0
2012,97,0
2012,96,0
2012,95,0
2012,94,0
2012,93,0
2012,92,0
2012,91,0
2012,90,0
2012,89,0
2012,88,0
2012,87,0
2012,86,0
2012,85,0
2012,84,0
2012,83,0
2012,82,0
2012,81,0
2012,80,0
2012,79,0
2012,78,0
2012,77,0
2012,76,0
2012,75,0
2012,74,0
2012,73,0
2012,72,0
2012,71,0
2012,70,0
2012,69,0
2012,68,0
2012,67,0
2012,66,0
2012,65,0
2012,64,0
2012,63,0
2012,62,0
2012,61,0
2012,60,0
2012,59,0
2012,58,0
2012,57,0
2012,56,0
2012,55,0
2012,54,0
2012,53,0
2012,52,0
2012,51,0
2012,50,0
2012,49,0
2012,48,0
2012,47,0
2012,46,10.210857
2012,45,10.210857
2012,44,20.421714
2012,43,38.637185
2012,42,65.614764
2012,41,67.78699
2012,40,169.129836
2012,39,191.23158
2012,38,479.378599
2012,37,711.668951
2012,36,1319.702435
2012,35,1402.551026
2012,34,1485.777048
2012,33,1576.515238
2012,32,1680.436207
2012,31,1934.228922
2012,30,2928.772947
2012,29,3306.379399
2012,28,2937.495834
2012,27,2951.794513
2012,26,2946.669769
2012,25,2869.868938
2012,24,3342.309246
2012,23,4030.678092
2012,22,3874.896649
2012,21,4375.65504
2012,20,4118.097873
2012,19,3083.066744
2012,18,1965.322086
2012,17,1077.730106
2012,16,952.675509
2012,15,367.983433
2012,14,187.829742
2012,13,151.909437
2012,12,54.339691
2012,11,42.762365
2012,10,0
2012,9,0
2012,8,0
2012,7,0
2012,6,0
2012,5,0
2012,4,0
2012,3,0
2012,2,0
2012,1,0
2012,0,0
2011,100,0
2011,99,0
2011,98,0
2011,97,0
2011,96,0
2011,95,0
2011,94,0
2011,93,0
2011,92,0
2011,91,0
2011,90,0
2011,89,0
2011,88,0
2011,87,0
2011,86,0
2011,85,0
2011,84,0
2011,83,0
2011,82,0
2011,81,0
2011,80,0
2011,79,0
2011,78,0
2011,77,0
2011,76,0
2011,75,0
2011,74,0
2011,73,0
2011,72,0
2011,71,0
2011,70,0
2011,69,0
2011,68,0
2011,67,0
2011,66,0
2011,65,0
2011,64,0
2011,63,0
2011,62,0
2011,61,0
2011,60,0
2011,59,0
2011,58,0
2011,57,0
2011,56,0
2011,55,0
2011,54,0
2011,53,0
2011,52,0
2011,51,0
2011,50,0
2011,49,0
2011,48,0
2011,47,3.140345
2011,46,5.761907
2011,45,7.273418
2011,44,10.368927
2011,43,8.851098
